"ITEM";"TESTE";"INTERCEPTO";"ERRO_INTERCEPTO";"PAR_A";"ERRO_A";"PAR_B";"ERRO_B";"CARGA_FATORIAL";"ERRO_CARGA";"PAR_C";"ERRO_C";"DRIFT";"ERRO_DRIFT";"NUM_BILOG";"RESP"
"ENEM1   ";"MT      ";-2,28282;0,13926;1,50249;0,09782;1,51936;0,03817;0,83247;0,0542;0,14693;0,009;0;0;1;1
"ENEM2   ";"MT      ";-1,86384;0,08668;1,87019;0,07686;0,99661;0,02183;0,88185;0,03624;0,10422;0,0071;0;0;2;1
"ENEM3   ";"MT      ";1,41779;0,04399;2,98283;0,08637;-0,47532;0,01859;0,94814;0,02745;0,12128;0,01127;0;0;3;1
"ENEM4   ";"MT      ";-0,63013;0,03694;0,71412;0,02711;0,88239;0,04701;0,58115;0,02207;0,01934;0,009;0;0;4;1
"ENEM5   ";"MT      ";-0,8591;0,06515;1,17687;0,05161;0,72999;0,03456;0,76205;0,03342;0,05673;0,01255;0;0;5;1
"ENEM6   ";"MT      ";0,19641;0,03895;2,66294;0,06969;-0,07376;0,01536;0,93617;0,0245;0,06434;0,0075;0;0;6;1
"ENEM7   ";"MT      ";-1,20538;0,07877;1,02937;0,05513;1,17099;0,03986;0,71727;0,03841;0,04867;0,01265;0;0;7;1
"ENEM8   ";"MT      ";0,19069;0,04335;2,75127;0,07738;-0,06931;0,01657;0,93984;0,02643;0,10443;0,00863;0;0;8;1
"ENEM9   ";"MT      ";0,11701;0,04322;3,34018;0,09134;-0,03503;0,01324;0,95799;0,0262;0,08469;0,00703;0;0;9;1
"ENEM10  ";"MT      ";-3,00388;0,45218;0,49987;0,16699;6,00928;1,21564;0,44712;0,14937;0,08081;0,01852;0;0;10;1
"ENEM11  ";"MT      ";-1,22956;0,05273;0,85193;0,03742;1,44326;0,04816;0,6485;0,02848;0,02015;0,00846;0;0;11;1
"ENEM12  ";"MT      ";-1,10766;0,07695;1,09382;0,05596;1,01266;0,03777;0,73805;0,03776;0,06067;0,01291;0;0;12;1
"ENEM13  ";"MT      ";-0,49696;0,02697;1,21321;0,03036;0,40962;0,02088;0,77165;0,01931;0,00842;0,00397;0;0;13;1
"ENEM14  ";"MT      ";-5,93719;0,46178;2,46943;0,24024;2,40428;0,07137;0,92689;0,09017;0,08933;0,00356;0;0;14;1
"ENEM15  ";"MT      ";-0,79818;0,07383;1,86293;0,07542;0,42845;0,02673;0,88109;0,03567;0,15179;0,01162;0;0;15;1
"ENEM16  ";"MT      ";-0,20745;0,05414;1,09028;0,04195;0,19028;0,04454;0,73696;0,02836;0,05009;0,01643;0;0;16;1
"ENEM17  ";"MT      ";-0,62435;0,0427;0,85635;0,03163;0,72908;0,04032;0,65044;0,02403;0,02354;0,01038;0;0;17;1
"ENEM18  ";"MT      ";-1,30416;0,07255;1,66683;0,06673;0,78242;0,02331;0,85751;0,03433;0,08207;0,00882;0;0;18;1
"ENEM19  ";"MT      ";0,26125;0,03793;2,09523;0,05618;-0,12469;0,01962;0,90248;0,0242;0,05012;0,00914;0;0;19;1
"ENEM20  ";"MT      ";-1,64296;0,07766;1,07624;0,05598;1,52656;0,04176;0,73258;0,03811;0,03077;0,00865;0;0;20;1
