"ITEM";"TESTE";"INTERCEPTO";"ERRO_INTERCEPTO";"PAR_A";"ERRO_A";"PAR_B";"ERRO_B";"CARGA_FATORIAL";"ERRO_CARGA";"PAR_C";"ERRO_C";"DRIFT";"ERRO_DRIFT";"NUM_BILOG";"RESP"
"ENEM1   ";"MT      ";-1,03716;0,02975;1,3278;0,02154;0,78111;0,01306;0,7988;0,01296;0,22059;0,00446;0;0;1;1
"ENEM2   ";"MT      ";0,59094;0,02133;1,30594;0,01684;-0,4525;0,02068;0,79397;0,01024;0,14572;0,00896;0;0;2;1
"ENEM3   ";"MT      ";-1,92111;0,03453;1,94316;0,02778;0,98865;0,008;0,88916;0,01271;0,22211;0,00265;0;0;3;1
"ENEM4   ";"MT      ";0,13565;0,04159;0,87321;0,01992;-0,15534;0,05046;0,65774;0,015;0,24463;0,01438;0;0;4;1
"ENEM5   ";"MT      ";-3,01205;0,03667;1,95815;0,02629;1,53821;0,00814;0,89059;0,01196;0,06341;0,0014;0;0;5;1
"ENEM6   ";"MT      ";-0,91708;0,0294;0,9815;0,01807;0,93436;0,01695;0,70048;0,01289;0,1037;0,00588;0;0;6;1
"ENEM7   ";"MT      ";-4,01379;0,07551;2,04654;0,04406;1,96126;0,01312;0,89848;0,01934;0,15542;0,00164;0;0;7;1
"ENEM8   ";"MT      ";-1,57174;0,03827;1,60533;0,02818;0,97907;0,01127;0,84879;0,0149;0,29568;0,00355;0;0;8;1
"ENEM9   ";"MT      ";1,17893;0,01183;0,74596;0,00792;-1,58041;0,02331;0,59793;0,00635;0,0136;0,00661;0;0;9;1
"ENEM10  ";"MT      ";-2,98671;0,05266;1,35504;0,03096;2,20415;0,02055;0,80462;0,01838;0,10557;0,00206;0;0;10;1
"ENEM11  ";"MT      ";0,9833;0,02652;0,37904;0,00731;-2,59417;0,0974;0,35443;0,00684;0,0368;0,01762;0;0;11;1
"ENEM12  ";"MT      ";-0,39366;0,01908;1,38697;0,01653;0,28383;0,01125;0,81115;0,00966;0,10006;0,00465;0;0;12;1
